,phonemic_transcription
57393,P ER S IY AH S
57394,P ER S T IY JH AH S
57395,P ER IY N AH
57396,S ER B IY AH
57397,S ER B IY AH Z
57398,S ER B IY AH N
57399,S ER B IY AH N Z
57400,S ER B IY AH N Z
57401,S ER B IY AH Z
57402,S ER IY L D AH
57403,S P ER IY AH S
57404,S T ER D IY N AH S
57405,T ER IY S AH
57406,T ER IY S AH Z
57407,T ER Z IY AH N
57408,T ER IY S AH
57409,T ER IY S AH Z
57410,ER B IY N AH
57411,Y ER IY AH
57412,Y ER IY TH R AH
57413,Y ER IY AH N
57414,Y ER IY AH Z
57415,Y ER IY G AH Z
57416,ER K W IY Z AH
57417,ER IY AH
57418,V ER IY T AH L
57419,V ER B IY N AH
57420,V ER IY N AH
57421,V ER M IY L Y AH
57422,V ER M IY L Y AH
57423,V ER N IY T AH
57424,W ER M IY AH L
57425,W ER L D L IY N AH S
57426,W ER IY S AH M
57427,W ER DH IY AH S T
57428,Z ER L IY N AH
57429,Z ER L IY N D AH
57430,JH IY L B ER T IY N AH
57431,P IY T S ER IY AH
57432,P IY T S ER IY AH Z
57433,AA R B ER IY T AH M
57434,K AA R B Y ER IY SH AH N
57435,M AA R G ER IY T AH
57436,AA L B ER T IY N AH
57437,AA L M ER IY AH
57438,K AA TH ER IY N AH
57439,K AA N S ER T IY N AH
57440,G AA N ER IY AH
57441,AA N ER IY AH
57442,K AA T ER IY N AH
57443,K AA T ER IY N AH Z
57444,P R AA S ER P IY N AH
57445,R OW D ER IY K AH
57446,L AA G R OW S ER IY AH
57447,L AH G R OW S ER IY AH
57448,K AH P ER N IY AH M
57449,L AH G ZH ER IY AH N T
57450,L AH G ZH ER IY AH S
57451,P R AH V ER B IY AH L
57452,S AH B S ER V IY AH N S
57453,S AH B S ER V IY AH N T
57454,S AH B ER B IY AH
57455,S AH M ER IY AH
57456,T R AH S T W ER DH IY N AH S
57457,AA N T R AH P R AH N ER IY AH L
57458,G AE M S AH K ER D IY AH
57459,S AE N T AH M ER IY AH
57460,HH AY P AH TH ER M IY AH
57461,N ER S ER IY M AH N
57462,AE D V ER B IY AH L
57463,AE NG K ER IY AH M
57464,B AE L ER IY N AH
57465,B AE L ER IY N AH Z
57466,G AE L ER IY AH
57467,G AE L ER IY AH Z
57468,G AE L ER IY AH
57469,M AE S T ER P IY S AH Z
57470,S AE L ER IY M AH N
57471,Y EH K AE T ER IY N B AH R G
57472,EH R W ER DH IY N AH S
57473,EH G B ER T IY N AH
57474,F EH D ER IY K AH
57475,F R EH D ER IY K AH
57476,D AY ER IY AH
57477,D AY ER IY AH Z
57478,D AY ER IY AH
57479,HH AY B ER N IY AH
57480,HH AY B ER N IY AH Z
57481,B IH L ER IY K AH
57482,S IH TH ER IY AH
57483,D IH M ER JH IY AH N
57484,IH M B ER G IY AH
57485,IH M P ER V IY AH S
57486,N IH G ER D L IY N AH S
57487,K R EH D IH T W ER DH IY N AH S
57488,S UW P ER P R IY M Y AH M
57489,S UW P ER S IY D AH D
57490,AO R D ER L IY N AH S
57491,K EY S ER IY AH
57492,S EY M ER IY AH
57493,EY L IY AH S
57494,EY L IY AH N
57495,EY L IY AH N Z
57496,EY L IY AH S
57497,B EY L IY AH N
57498,D EY L IY AH N
57499,G EY L IY AH
57500,M EY L IY S AH N T
57501,S EY L Z P IY P AH L
57502,S EY L IY AH N T
57503,P AA P EY L IY AH
57504,OW F EY L IY AH
57505,B AH K EY L IY AH N
57506,M AH M EY L IY AH N
57507,R AH F EY L IY AH N
57508,T AH P EY L IY AH N
57509,S EH N T R EY L IY AH
57510,W EH S T F EY L IY AH
57511,AE L IH T EY L IY AH
57512,AE L IH T EY L IY AH Z
57513,P AO R CH UW G EY L IY AH
57514,EH R IY AH L
57515,EH R IY AH L Z
57516,EH R IY AH N
57517,EH R IY AH N Z
57518,EH SH L IY M AH N
57519,EH R L IY AH
57520,EH N IY W AH N
57521,EH N IY W AH N
57522,EH N IY W AH N Z
57523,EH R IY AH
57524,EH R IY AH Z
57525,EH R IY AH Z
57526,EH R IY AH L
57527,B EH R IY AH M
57528,B EH N IY G N AH
57529,B EH R IY AH
57530,B EH R M IY AH
57531,B EH R N IY AH
57532,B EH R IY AH N
57533,B EH R IY AH N
57534,B EH R IY M AH N
57535,B EH DH IY AH
57536,B R EH Z IY N AH
57537,B EH R IY AH L
57538,B EH R IY AH L Z
57539,K EH R IY AH N
57540,K EH R IY AH N
57541,CH EH R P IY P AH L
57542,CH EH R IY AH T
57543,CH EH R IY AH T S
57544,CH EH CH N IY AH
57545,CH EH CH N IY AH Z
57546,CH EH CH N IY AH N
57547,CH EH CH N IY AH N Z
57548,CH EH CH N IY AH N Z
57549,SH EH V IY AH T
57550,K L EH R IY AH N
57551,K L EH R IY S AH
57552,D EH R IY AH N
57553,D EH D L IY AH S T
57554,D EH D L IY N AH S
57555,D EH S IY D AH N T
57556,D EH S IY D AH N T S
57557,D EH S IY D AH N T S
57558,D EH S P IY N AH Z
57559,EH JH IY N AH S
57560,EH D IY V AH
57561,EH D IY V AH L
57562,EH D R IY AH
57563,EH D W IY N AH
57564,EH M IY N AH
57565,EH M P T IY N AH S
57566,EH M T IY N AH S
57567,EH N IY AH
57568,EH N F IY B AH L
57569,EH N F IY B AH L D
57570,EH N IY AH
57571,EH N V IY AH S
57572,EH R IY S AH
57573,EH R IY AH
57574,EH R IY K AH
57575,EH S P IY SH AH
57576,EH V R IY M AH N
57577,EH V R IY M AH N Z
57578,EH V R IY W AH N
57579,EH V R IY W AH N Z
57580,EH V IY AH N
57581,EH V IY T AH
57582,F EH R IY AH Z
57583,F EH R IY AH
57584,F EH R M IY AH M
57585,F EH R IY M AH N
57586,F EH S T IY V AH
57587,F R EH N D L IY AH S T
57588,JH EH B IY AH
57589,G EH D IY AH N
57590,G EH M IY N AH
57591,JH EH N S IY AH
57592,HH EH R IY N AH S
57593,HH EH R IY M AH
57594,HH EH R IY AH T
57595,HH EH V IY AH S T
57596,HH EH F T IY AH S T
57597,HH EH R M IY D AH
57598,HH EH R IY AH T
57599,HH EH S T IY AH
57600,JH EH M IY M AH
57601,JH EH P IY Z AH N
57602,K EH R IY AH N
57603,L EH R IY AH T
57604,L EH D V IY N AH
57605,L EH N IY T AH
57606,L EH Z B IY AH N
57607,L EH Z B IY AH N Z
57608,L EH TH IY AH
57609,L EH V IY AH N
57610,L EH V IY N AH
57611,M EH R IY AH L
57612,M EH R IY AH N
57613,M EH R IY AH N Z
57614,M EH R IY AH T
57615,M EH R IY AH T S
57616,M EH N D IY T AH
57617,M EH R IY AH N
57618,M EH R IY AH M
57619,M EH R IY AH T
57620,M EH R IY M AH N
57621,N EH R IY T AH
57622,N EH CH IY B AH
57623,N EH G L IY AH
57624,N EH S T IY AH
57625,P EH R IY B AH S
57626,P EH CH IY N AH
57627,P EH N IY L AH S
57628,P EH N TH IY AH
57629,P EH N T IY AH M
57630,P EH N T IY AH M Z
57631,P EH P IY T AH
57632,P EH R IY AH
57633,P EH R IY AH Z
57634,P EH S IY N AH
57635,P EH T IY P AH
57636,P EH T IY P AH Z
57637,P EH T R IY AH
57638,P EH T R IY N AH
57639,P R EH S IY AH N T
57640,P R EH T IY M AH N
57641,K W EH R IY D AH
57642,R EH D IY N AH S
57643,R EH K IY AH
57644,R EH N D IY N AH
57645,R EH N IY T AH
57646,R EH K W IY AH M
57647,S K EH R IY AH S T
57648,S EH K IY AH
57649,S EH D IY T AH
57650,S EH P T IY M AH
57651,S EH K S IY AH S T
57652,S EH K S IY N AH S
57653,S T EH P IY AH N
57654,T EH R IY AH N
57655,TH EH S P IY AH N
57656,T R EH G L IY AH
57657,T R EH N D IY AH S T
57658,V EH R IY AH N
57659,V EH R IY AH N S
57660,V EH R IY AH N T
57661,V EH R IY AH N T S
57662,V EH R IY AH S
57663,V EH N IY T AH
57664,V EH Z IY N AH
57665,V R EH M IY AH
57666,W EH Z L IY AH N
57667,W EH S L IY AH
57668,HH W EH S L IY AH
57669,Z EH N IY N AH
57670,AA R EH K IY G AH
57671,AA R EH T IY N AH
57672,B AA R B EH R IY AH N
57673,B AA R B EH R IY AH N Z
57674,M AA R G EH R IY T AH S
57675,M AA R K EH R IY AH N
57676,P AA R TH EH N IY AH
57677,B OW D EH G IY D AH
57678,OW V EH R IY AH N
57679,B EH NG G OW EH CH IY AH
57680,P OY N S EH T IY AH
57681,P OY N S EH T IY AH Z
57682,B AY EH N IY AH L
57683,L AY B R EH R IY AH N
57684,L AY B R EH R IY AH N Z
57685,F AY S T EH R IY AH
57686,T R AY EH N IY AH L
57687,V AY K EH R IY AH S
57688,B EY EH R IY AH
57689,F R EY D EH R IY K AH
57690,F R EY D EH R IY K AH
57691,S R EY B R EH N IY T S AH
57692,S R EY B R EH N IY T S AH Z
57693,EH CH EY V EH R IY AH
57694,L AO R EH N S IY AH M
57695,P R IY K EH R IY AH S
57696,S IY L V EH R IY AH
57697,T IY Y EH R IY N AH
57698,F AA N D IY EH R IY AH
57699,IH N M OW B AH L IY EH R IY AH
57700,F IH N AE N Z IY EH R IY AH
57701,AA M EH Z K W IY T AH
57702,K AA N T R EH R IY AH N
57703,K AA N T R EH R IY N AH S
57704,L AA V EH K IY AH
57705,K W AA D R EH N IY AH L
57706,V AA L EH N T IY N AH
57707,V AA G N EH R IY AH N
57708,EY K AA T EH R IY N AH
57709,AH G R EH R IY AH N
57710,AH L EH G R IY AH
57711,AH L EH K S IY AH
57712,AH K W EH R IY AH M
57713,AH K W EH R IY AH M Z
57714,AH K W EH R IY AH S
57715,AH S EH M B L IY M AH N
57716,B AH V EH R IY AH
57717,B AH V EH R IY AH Z
57718,B AH V EH R IY AH N
57719,B AH L G EH R IY AH
57720,B AH L G EH R IY AH Z
57721,B AH L G EH R IY AH N
57722,B AH L G EH R IY AH N Z
57723,K AH M P EH N D IY AH M
57724,K AH N T R EH R IY AH N Z
57725,D AH S EH N IY AH L
57726,G R AH G EH R IY AH S
57727,HH AH NG G EH R IY AH N
57728,HH AH NG G EH R IY AH N Z
57729,K AH S P EH R IY AH N
57730,K AH Z EH R IY AH N
57731,K AH Z EH R IY AH N Z
57732,M AH G EH R IY AH N
57733,M AH L EH R IY AH
57734,M AH L EH R IY AH L
57735,M AH L EH N IY AH
57736,M AH L EH N IY AH M
57737,M AH L EH N IY AH M Z
57738,N AH JH EH R IY AH N
57739,N AH Z EH R IY AH N
57740,N AH F EH R IY AH S
57741,P AH D EH S T R IY AH N
57742,P AH D EH S T R IY AH N Z
57743,P L AH N EH R IY AH N
57744,P R AH V EH N IY AH N S
57745,V AH L EH N S IY AH
57746,V AH L EH N S IY AH Z
57747,Z AH K EH R IY AH N
57748,AA R B AH T R EH R IY N AH S
57749,P R OW L AH T EH R IY AH N
57750,P R OW L AH T EH R IY AH T
57751,S EH P CH UW AH JH AH N EH R IY AH N
57752,V EH T ER AH N EH R IY AH N
57753,V EH T ER AH N EH R IY AH N Z
57754,B AE G D AH S EH R IY AH N
57755,P L AE N AH T EH R IY AH M
57756,T OW T AE L AH T EH R IY AH N Z
57757,IH G AE L AH T EH R IY AH N
57758,HH Y UW M AE N AH T EH R IY AH N
57759,Y UW M AE N AH T EH R IY AH N
57760,HH Y UW M AE N AH T EH R IY AH N Z
57761,Y UW M AE N AH T EH R IY AH N Z
57762,S EH N T AH N EH R IY AH N
57763,S EH N T AH N EH R IY AH N Z
57764,EH S K AH N D EH R IY AH N
57765,S EH K R AH T EH R IY AH L
57766,S EH M AH N EH R IY AH N
57767,S EH M AH N EH R IY AH N Z
57768,V EH JH AH T EH R IY AH N
57769,V EH JH AH T EH R IY AH N Z
57770,V EH T R AH N EH R IY AH N
57771,V EH T R AH N EH R IY AH N Z
57772,Y UW T IH L AH T EH R IY AH N
57773,D EH L AH V EH K IY AH
57774,IH N T EH L AH JH EH N T S IY AH
57775,Y UW N AH T EH R IY AH N
57776,AH TH AO R AH T EH R IY AH N
57777,K AE TH EH R IY N AH
57778,S AE N T EH R IY AH
57779,W AE G N EH R IY AH N
57780,HH ER B EH R IY AH M
57781,ER B EH R IY AH M
57782,HH ER B EH R IY AH M Z
57783,ER B EH R IY AH M Z
57784,HH ER EH D IY AH
57785,P ER EH N IY AH L
57786,P ER EH N IY AH L Z
57787,T ER EH S IY T AH
57788,T ER EH S T R IY AH L
57789,AA N ER EH R IY AH
57790,AA N ER EH R IY AH M
57791,AA N ER EH R IY AH M Z
57792,EH K S T R AH T ER EH S T R IY AH L
57793,EH K S T R AH T ER EH S T R IY AH L Z
57794,AE D V ER S EH R IY AH L
57795,AE N ER EH K S IY AH
57796,L IH B ER T EH R IY AH N
57797,L IH B ER T EH R IY AH N Z
57798,S EH N T EH N IY AH L
57799,S EH N T EH N IY AH L Z
57800,EH Z EH K IY AH L
57801,K EH R EH N IY N AH
57802,R EH N T EH R IY AH
57803,S EH K T EH R IY AH N
57804,S K EH N D EH R IY AH N
57805,V EH N EH Z IY AH
57806,N AA N S EH K T EH R IY AH N
57807,N AA N S EH K T EH R IY AH N
57808,P AA R L AH M EH N T EH R IY AH N
57809,P AA R L AH M EH N T EH R IY AH N Z
57810,B AY S EH N T EH N IY AH L
57811,CH EH L EH S T IY N AH
57812,P EH L EH K IY AH
57813,B IH L Z EH R IY AH N
57814,B IH L Z EH R IY AH N Z
57815,B IH S CH EH G L IY AH
57816,D IH M EH N SH IY AH
57817,D IH M EH T R IY AH
57818,D IH K EH N Z IY AH N
57819,D IH S L EH K S IY AH
57820,IH K W EH S T R IY AH N
57821,HH IH L EH R IY AH S
57822,HH IH S T EH R IY AH
57823,IH N V EH R IY AH N S
57824,IH N V EH R IY AH N T
57825,IH S K EH R IY AH T
57826,IH S K EH M IY AH
57827,IH Z V EH S T IY AH
57828,M IH L EH N IY AH L
57829,AA K T AH JH IH N EH R IY AH N
57830,M AE JH ER IH T EH R IY AH N
57831,S T R AE D IH V EH R IY AH S
57832,T OW T AE L IH T EH R IY AH N
57833,S EH K R IH T EH R IY AH T
57834,D IH S IH P L IH N EH R IY AH N
57835,D IH S IH P L IH N EH R IY AH N Z
57836,L AO R IH T EH R IY AH N
57837,T AA V UW L EH R IY AH S
57838,AE K CH UW EH R IY AH L
57839,B IH HH IY M AH TH S
57840,B IH L IY AH S
57841,B IH L IY AH D
57842,B IH CH IY N AH S
57843,B R IH T IY AH N
57844,B IH Z IY AH S T
57845,S IH S IY L Y AH
57846,S IH S IY L Y AH
57847,S IH R IY AH L
57848,S IH R IY AH L Z
57849,CH IH R IY AH S T
57850,CH IH D IY Y AH
57851,CH IH L IY AH N
57852,CH IH L IY AH N Z
57853,CH IH L IY AH S T
57854,K IH K W IY T AH
57855,CH IH K W IY T AH
57856,CH IH K IY T AH
57857,K R IH S T IY N AH
57858,S IH L IY AH T S
57859,S IH T IY T R AH S T
57860,K R IH S T IY N AH
57861,S IH N TH IY AH
57862,S IH N TH IY AH Z
57863,S IH P R IY AH N
57864,S IH P R IY AH T
57865,S IH P R IY AH T S
57866,K IH R IY N AH
57867,D IH S IY T F AH L
57868,D IH CH IY M AH
57869,D IH K R IY S AH Z
57870,D IH F IY Z AH N S
57871,D IH F IY T AH D
57872,D IH F IY N AH
57873,D IH JH IY Z AH S
57874,D IH L IY T AH D
57875,D IH L IY SH AH N
57876,D IH L IY SH AH N Z
57877,D IH P IY N AH
57878,D IH P L IY SH AH N
57879,D IH S IY L V AH
57880,D IH V IY T AH
57881,D IH S IY AH N
57882,D IH D IY AH N
57883,D IH D IY AH N Z
57884,D IH P R IY M AH
57885,D IH Z IY Z AH Z
57886,D IH S T R IY G AH S
57887,D IH V IY T AH
57888,D IH Z IY N AH S
57889,D IH S P N IY AH
57890,IH D IY M AH
57891,IH G R IY JH AH S
57892,IH L IY ZH AH
57893,IH N R IY K AH
57894,IH K S IY D AH D
57895,IH K S K R IY SH AH N
57896,IH K S T R IY M AH S T S
57897,F IH D IY L Y AH
57898,F IH JH IY AH N Z
57899,F IH L IY AH L
57900,F IH N IY AH N
57901,F IH N IY AH N Z
57902,F IH NG K L IY AH
57903,F IH N L IY S AH N
57904,F IH TH IY AH N
57905,F L IH M Z IY AH S T
57906,G IH B IY AH N
57907,G IH B IY AH N Z
57908,G IH D IY AH N
57909,G IH L IY AH M
57910,JH IH L IY AH N
57911,G IH L IY AH N D
57912,G IH R IY JH AH
57913,G R IH L IY AH T
57914,HH IH D IY AH S
57915,HH IH Z IY NG G AH
57916,IH D IY AH M
57917,IH D IY AH M Z
57918,IH D IY AH T
57919,IH D IY AH T S
57920,IH G N IY AH S
57921,IH L IY AH D
57922,IH L IY G AH L
57923,IH L IY G AH L Z
57924,IH L IY N AH
57925,IH M P IY CH AH Z
57926,IH M P IY CH M AH N T
57927,IH M P IY CH M AH N T S
57928,IH M P IY D AH N S
57929,IH N D IY S AH N T
57930,IH N D IY AH
57931,IH N D IY AH Z
57932,IH N D IY AH N
57933,IH N D IY AH N Z
57934,IH N D IY AH N Z
57935,IH N D IY AH N Z
57936,IH N D IY AH M
57937,IH N F R IY K W AH N T
57938,IH N JH IY N Y AH S
57939,IH NG G R IY AH
57940,IH N IY G AH
57941,IH R IY N AH
57942,IH Z R IY AH L
57943,IH Z R IY AH L Z
57944,JH IH L IY AH N
57945,K IH L IY AH N
57946,K IH M B R IY AH L
57947,K IH Z IY AH
57948,K R IH S T IY N AH
57949,L IH B IY AH
57950,L IH B IY AH Z
57951,L IH B IY AH N
57952,L IH B IY AH N Z
57953,L IH S IY AH
57954,L IH L IY AH N
57955,L IH L IY AH N
57956,L IH L IY AH N
57957,L IH L IY N TH AH L
57958,L IH L IY AH N
57959,L IH L IY AH N Z
57960,L IH L IY AH N
57961,L IH N IY AH JH
57962,L IH N IY AH L
57963,L IH N IY AH
57964,L IH TH IY AH M
57965,L IH V IY AH
57966,L IH D IY AH
57967,M IH D IY V AH L
57968,M IH D Y IY V AH L
57969,M IH S IY N AH
57970,M IH K IY AH L
57971,M IH D S IY Z AH N
57972,M IH K IY T AH
57973,M IH L IY AH N
57974,M IH L P IY T AH S
57975,M IH N IY AH
57976,M IH N IY B AH S
57977,M IH N IY AH M
57978,M IH R IY AH M
57979,M IH S K R IY AH N T
57980,M IH S K R IY AH N T S
57981,M IH S T R IY T M AH N T
57982,M IH R IY AH D
57983,M IH R IY AH M
57984,N IH K IY T AH
57985,N IH D IY AH
57986,P IH R IY AH D
57987,P IH R IY AH D Z
57988,P IH R IY AH D Z
57989,F IH N IY AH S
57990,F R IH JH IY AH N
57991,P IH T IY L AH S
57992,P L IH N IY AH S
57993,P R IH T IY AH S T
57994,S IH L IY AH M
57995,P IH R IY N AH
57996,P IH TH IY AH
57997,K W IH R IY AH N
57998,R IH B IY K AH
57999,R IH JH IY N AH
58000,R IH T R IY V AH L
58001,R IH P IY AH N
58002,R IH S K IY AH S T
58003,R IH S K IY N AH S
58004,R IH T S IY M AH
58005,R IH T S IY AH S T
58006,R IH G IY AH L
58007,S IH TH IY AH N
58008,S IH R IY AH
58009,S IH R IY AH L
58010,S IH R IY AH L Z
58011,S IH R IY AH S
58012,S IH K IY M AH
58013,S IH L IY Z AH
58014,S IH L IY AH S T
58015,S IH L IY N AH S
58016,S IH L V IY AH
58017,S IH M IY AH N
58018,S IH M IY AH N
58019,S IH M IY AH N
58020,S K IH M P IY AH S T
58021,S K IH N IY AH S T
58022,S N IH F IY AH S T
58023,S T IH K IY AH S T
58024,S T IH JH IY AH N
58025,S IH L V IY AH
58026,S IH L V IY AH Z
58027,S IH M B IY AH N
58028,S IH M B IY AH N Z
58029,S IH R IY AH
58030,S IH R IY AH Z
58031,S IH R IY AH N
58032,S IH R IY AH N Z
58033,T IH B IY AH
58034,T IH S IY N AH S
58035,T R IH K IY AH S T
58036,T R IH T IY AH M
58037,T R IH V IY AH
58038,T R IH V IY AH L
58039,V IH L N IY AH S
58040,V IH R IY N AH
58041,V IH T R IY AH S
58042,V IH T R IY AH L
58043,V IH V IY AH N
58044,V IH V IY AH N
58045,V IH V IY AH N
58046,W IH R IY N AH S
58047,W IH R IY S AH M
58048,V IH R S IY M AH
58049,W IH L IY AH M Z
58050,W IH M P IY N AH S
58051,W IH N IY AH
58052,Y IH SH IY V AH
58053,IH T R IY AH M
58054,Z IH L V IY AH
58055,Z IH N IY AH
58056,Z IH N IY AH Z
58057,AA R T IH R IY AH L
58058,D AA R W IH N IY AH N
58059,L AA R IH N JH IY AH L
58060,M AA R S IH G L IY AH
58061,Y OW S IH F IY N AH
58062,OW D IH S IY AH S
58063,P R OW V IH D IY AH N
58064,Y OW SH IH HH IY S AH
58065,L OW G OW F IH L IY AH
58066,HH AE N OW V IH R IY AH N
58067,B AY OW S F IH R IY AH N
58068,B AY OW S F IH R IY AH N Z
58069,K R AY T IH R IY AH
58070,K R AY T IH R IY AH N
58071,D AY L IH TH IY AH M
58072,HH AY P IH R IY AH N
58073,AY B IH R IY AH
58074,AY B IH R IY AH Z
58075,AY B IH R IY AH N
58076,L AY B IH R IY AH
58077,L AY B IH R IY AH Z
58078,L AY B IH R IY AH N
58079,L AY B IH R IY AH N Z
58080,N AY JH IH R IY AH
58081,N AY JH IH R IY AH Z
58082,N AY JH IH R IY AH N
58083,N AY JH IH R IY AH N Z
58084,S AY B IH R IY AH
58085,S AY B IH R IY AH N
58086,Z AY IH R IY AH N
58087,Z AY IH R IY AH N Z
58088,Z AY IH R IY AH N Z
58089,EY T IH P IY AH
58090,SH EY K S P IH R IY AH N
58091,B UW G EY N V IH L IY AH
58092,F L AO R IH D IY AH N
58093,F L AO R IH D IY AH N Z
58094,F AO R S IH TH IY AH
58095,F AO R S IH DH IY AH
58096,F AO R S IH TH IY AH Z
58097,F AO R S IH DH IY AH Z
58098,M AO R IH T IY AH S
58099,K R IH P T OW S P AO R IH D IY AH M
58100,K R IH P T OW S P AO R IH D IY AH M
58101,K Y UH IH T IY B AH
58102,SH AA N IH SH IY V AH
58103,P AA L IH N IY AH
58104,P AA L IH N IY ZH AH
58105,P AA L IH N IY ZH AH N
58106,F R EH N CH P AA L IH N IY ZH AH
58107,B OW L IH V IY AH
58108,B OW L IH V IY AH N
58109,B OW L IH V IY AH N Z
58110,OW L IH V IY AH
58111,OW L IH V IY AH Z
58112,OW L IH M P IY AH
58113,OW L IH M P IY AH Z
58114,OW L IH M P IY AH N
58115,OW L IH M P IY AH N Z
58116,OW L IH M P IY AH S
58117,P R OW L IH N IY AH
58118,EH R OW L IH N IY AH S
58119,K EH R OW L IH N IY AH N
58120,AH F IH L IY AH T
58121,AH F IH L IY AH T S
58122,AH L IH S IY AH
58123,AH L IH TH IY AH
58124,AH L IH S IY AH
58125,AH S IH R IY AH
58126,AH S IH R IY AH N
58127,AH S IH R IY AH N Z
58128,B AH L IH V IY AH
58129,B AH L IH V IY AH Z
58130,B AH L IH V IY AH N
58131,B AH L IH V IY AH N Z
58132,K AH N IH G L IY AH
58133,K AH R IH B IY AH N
58134,K AH M IH T IY M AH N
58135,K AH N V IH V IY AH L
58136,D AH V IH D IY AH N
58137,D AH V IH D IY AH N Z
58138,D AH V IH D IY AH N Z
58139,D AH L S IH N IY AH
58140,F L AH M IH N IY AH N
58141,G AH L IH SH IY AH
58142,G AH V IH R IY AH
58143,L AH S IH V IY AH S
58144,M AH L IH Z IY AH
58145,M AH T IH R IY AH L
58146,M AH T IH R IY AH L Z
58147,M AH T IH R IY AH L Z
58148,N AH M IH B IY AH
58149,N AH M IH B IY AH Z
58150,N AH M IH B IY AH N
58151,N AH F R IH D IY AH M
58152,AH B L IH V IY AH N
58153,AH B L IH V IY AH S
58154,AH B S IH D IY AH N
58155,P AH NG K T IH L IY AH S
58156,R AH S IH P IY AH N T
58157,SH AH HH IH N IY AH N
58158,V AH L IH R IY AH N
58159,V AH N IH R IY AH L
58160,V AH S T IH JH IY AH L
58161,IY K W AH L IH B R IY AH
58162,IY K W AH L IH B R IY AH M
58163,D IH S IY K W AH L IH B R IY AH M
58164,AA R JH AH N T IH N IY AH N
58165,AA R JH AH N T IH N IY AH N Z
58166,K AA R TH AH JH IH N IY AH N
58167,AA G AH S T IH N IY AH N
58168,AA G AH S T IH N IY AH N Z
58169,K AA N D AH M IH N IY AH M
58170,K AA N D AH M IH N IY AH M Z
58171,B AY OW M AH T IH R IY AH L
58172,B AY OW M AH T IH R IY AH L Z
58173,S ER V AH S IH R IY AH
58174,AE P AH L IH N IY AH N
58175,K AE F AH T IH R IY AH
58176,K AE F AH T IH R IY AH Z
58177,P AE L AH S T IH N IY AH N Z
58178,K EH R AH L IH N JH IY AH N
58179,K EH R AH L IH N IY AH N
58180,K EH R AH L IH N IY AH N Z
58181,Y EH M AH N IH JH IY AH N
58182,D AY AH N IH S IY AH N
58183,D AY AH N IH S IY AH S
58184,HH AY AH S IH N TH IY AH
58185,IH G N AH M IH N IY AH S
58186,IH M AH T IH R IY AH L
58187,D EH L AH T IH R IY AH S
58188,AE B S IH N IY AH
58189,AE B S IH N IY AH N
58190,AE L JH IH R IY AH
58191,AE L JH IH R IY AH N
58192,AE L IH SH IY B AH
58193,AE M F IH B IY AH N
58194,AE M F IH B IY AH N Z
58195,AE M F IH B IY AH S
58196,AE N T IH S IY D AH N T
58197,AE N T IH S IY D AH N T S
58198,B AE K T IH R IY AH
58199,B AE K T IH R IY AH Z
58200,B AE K T IH R IY AH L
58201,B AE K T IH R IY AH M
58202,B AE G D IH K IY AH N
58203,K L AE M IH D IY AH
58204,F AE S T IH D IY AH S
58205,S AE N D IH N IY S T AH
58206,S AE N D IH N IY S T AH Z
58207,S AE N D IH N IY S T AH Z
58208,AE N T IY B AE K T IH R IY AH L
58209,ER IH DH M IY AH
58210,ER IH DH M IY AH Z
58211,B ER B IH R IY AH N
58212,B ER IH L IY AH M
58213,S ER IH D IY AH N
58214,K ER IH N TH IY AH N
58215,D ER D IH R IY AH N
58216,M ER IH D IY AH N
58217,M ER IH D IY AH N Z
58218,M ER IH D IY AH N
58219,P ER IH S IY AH N Z
58220,P ER S IH P IY AH N T
58221,P ER Z IH G IY AH N
58222,AE M ER IH N D IY AH N
58223,S UW P ER S IH L IY AH S
58224,K EH R IH B IY AH N
58225,K EH R IH B IY AH N
58226,EH R IH T R IY AH
58227,EH R IH T R IY AH N
58228,P EH K S N IH F IY AH N
58229,T EH N IH S IY AH N
58230,T EH N IH S IY AH N Z
58231,AE N T AH M EH R IH D IY AH N
58232,IH N EH K S P IH R IY AH N S T
58233,B EY S AO F IH L IY AH
58234,D IH L IH R IY AH S
58235,D IH L IH R IY AH M
58236,D IH D IH N IY AH M
58237,D IH V IH N IY T AH S
58238,IH L IH R IY AH
58239,IH L IH ZH IY AH
58240,IH L IH Z IY AH M
58241,IH TH IH R IY AH L
58242,IH K S P IH R IY AH N S
58243,IH K S P IH R IY AH N S T
58244,IH L IH R IY AH N
58245,IH M P IH R IY AH L
58246,IH M P IH R IY AH L Z
58247,IH M P IH R IY AH S
58248,IH N S IH P IY AH N T
58249,IH N IH SH IY AH T S
58250,IH N S IH D IY AH S
58251,IH N S IH G N IY AH
58252,IH N V IH D IY AH S
58253,IH R IH D IY AH M
58254,K IH SH IH SH IY AH N
58255,K IH L IH L IY AH
58256,L IH T IH SH IY AH
58257,L IH S T IH R IY AH
58258,M IH L IH K IY AH N
58259,M IH S T IH R IY AH S
58260,F IH L IH S T IY AH
58261,P R IH S IH D IY AH M
58262,P R IH N S IH P IY AH
58263,R IH S IH P IY AH N T
58264,R IH S IH P IY AH N T S
58265,R IH S IH P IY AH N T S
58266,R IH S IH P IY AH N T S
58267,R IH Z IH L IY AH N S
58268,S IH S IH L IY AH N
58269,K AA N F IH T IH R IY AH Z
58270,TH R EY K OW IH L IH R IY AH N
58271,AE K T IH N IH D IY AH
58272,M AE N IH JH IH R IY AH L
